[165547560 dsm.cpp   410   183 000062FC] TWAIN Working Group
[165547561 dsm.cpp   411   183 000062FC] TWAIN 32 Source Manager (Image Acquisition Interface)
[165547561 dsm.cpp   412   183 000062FC] version: 2, 4, 2, 0
[165547561 dsm.cpp  2382   183 000062FC] TWAIN CS Scan App -> DSM
[165547561 dsm.cpp  2391   183 000062FC] DG_CONTROL/DAT_PARENT/MSG_OPENDSM
[165547561 apps.cpp  383   183 000062FC]   Application: "TWAIN Working Group"
[165547561 apps.cpp  384   183 000062FC]                "TWAIN Open Source"
[165547561 apps.cpp  385   183 000062FC]                "TWAIN CS Scan App" version: 2.4
[165547561 apps.cpp  386   183 000062FC]                TWAIN 2.4
[165547641 apps.cpp 1590   127 000062FC]   We're deliberately skipping this file: C:\Windows\twain_32\wiatwain.ds
[165547641 apps.cpp  680   127 000062FC]   Condition Code: DS or DSM reported error, application shouldn't display an error
[165547701 apps.cpp 1647   203 000062FC]   Loaded library: C:\Windows\twain_32\Kodak\kds_i2000\kds.ds (TWAINDSM_USEAPPID:1)
[165547730 dsm.cpp  2446    18 000062FC] TWRC_SUCCESS

[165547735 dsm.cpp  2382    18 000062FC] TWAIN CS Scan App -> DSM
[165547735 dsm.cpp  2391    18 000062FC] DG_CONTROL/DAT_IDENTITY/MSG_GETDEFAULT
[165547735 dsm.cpp  2446    18 000062FC] TWRC_SUCCESS

[165547738 dsm.cpp  2382    18 000062FC] TWAIN CS Scan App -> DSM
[165547738 dsm.cpp  2391    18 000062FC] DG_CONTROL/DAT_IDENTITY/MSG_GETFIRST
[165547738 dsm.cpp  2446    18 000062FC] TWRC_SUCCESS

[165547741 dsm.cpp  2382    18 000062FC] TWAIN CS Scan App -> DSM
[165547741 dsm.cpp  2391    18 000062FC] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[165547741 dsm.cpp  2446    18 000062FC] TWRC_ENDOFLIST

[165549083 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> DSM
[165549083 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_IDENTITY/MSG_SET
[165549085 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165549086 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> DSM
[165549086 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_IDENTITY/MSG_OPENDS
[165549087 apps.cpp 1539     0 000062FC]   Datasource: "Eastman Kodak"
[165549087 apps.cpp 1540     0 000062FC]               "Document Imaging"
[165549087 apps.cpp 1541     0 000062FC]               "KODAK Scanner: i2000" version: 16.1
[165549087 apps.cpp 1542     0 000062FC]               TWAIN 2.4
[165549090 apps.cpp 1647   203 000062FC]   Loaded library: C:\Windows\twain_32\Kodak\kds_i2000\kds.ds (TWAINDSM_USEAPPID:1)
[165551199 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165551216 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165551216 dsm.cpp  2387     0 000062FC] DG_CONTROL/DAT_CAPABILITY/MSG_SET/ICAP_XFERMECH TWON_ONEVALUE 
[165551216 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165551219 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165551219 dsm.cpp  2387     0 000062FC] DG_CONTROL/DAT_CAPABILITY/MSG_SET/CAP_INDICATORS TWON_ONEVALUE 
[165551219 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165551224 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165551224 dsm.cpp  2387     0 000062FC] DG_CONTROL/DAT_CAPABILITY/MSG_GETCURRENT/CAP_CUSTOMDSDATA
[165551224 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS TWON_ONEVALUE 

[165601245 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165601245 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_USERINTERFACE/MSG_ENABLEDS
[165602133 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165606983 dsm.cpp  2382     0 00007448] KODAK Scanner: i2000 -> TWAIN CS Scan App
[165606983 dsm.cpp  2391     0 00007448] DG_CONTROL/DAT_NULL/MSG_XFERREADY
[165606983 dsm.cpp  2446     0 00007448] TWRC_SUCCESS

[165606983 dsm.cpp   494     0 000062FC] TWAIN CS Scan App retrieving DAT_EVENT / MSG_XFERREADY

[165606988 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165606988 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_SETUPMEMXFER/MSG_GET
[165606988 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165606995 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165606995 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165606996 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165606999 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165606999 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165606999 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165607254 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165607254 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165607255 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165607257 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165607257 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165607257 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165607259 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165607259 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165607259 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165607483 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165607483 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165608128 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165608131 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608131 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165608131 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165608133 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608133 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165608133 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165608265 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608265 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165608265 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165608267 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608267 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165608267 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165608268 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608268 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165608268 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165608369 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608369 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165609238 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165609240 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609240 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165609240 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165609241 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609241 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165609241 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165609378 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609378 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165609379 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165609381 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609381 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165609381 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165609382 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609382 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165609382 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165609466 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609466 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165610404 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165610407 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610407 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165610407 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165610409 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610409 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165610409 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165610429 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610429 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165610484 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165610487 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610487 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165610487 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

